Artist,Song,Explicit,Explicit_f,Year,Popularity,Popularity_f,Danceability,Energy,Speechiness,Acousticness,Liveness,Valence,Genre
Kesha,C'Mon,0,FALSE,2012,0.2,20,0.558,0.781,0.0963,0.00657,0.102,0.286,"pop, Dance/Electronic"
Capital Cities,Safe And Sound,0,FALSE,2013,0.2,20,0.652,0.783,0.0309,0.000189,0.0889,0.836,pop
Maroon 5,Sugar,1,TRUE,2014,0.2,20,0.744,0.783,0.0337,0.0553,0.086,0.885,pop
Luis Fonsi,Despacito (Featuring Daddy Yankee),0,FALSE,2017,0.2,20,0.66,0.786,0.17,0.209,0.112,0.846,"pop, latin"
Major Lazer,Cold Water (feat. Justin Bieber & MØ),0,FALSE,2016,0.2,20,0.608,0.798,0.0432,0.0736,0.156,0.501,"hip hop, pop, Dance/Electronic"
Alessia Cara,Here,0,FALSE,2015,0.2,20,0.379,0.799,0.163,0.0804,0.0793,0.359,"pop, R&B"
Jim Jones,We Fly High,1,TRUE,2006,0.2,20,0.685,0.8,0.298,0.0847,0.092,0.483,"hip hop, pop"
Shawn Mendes,There's Nothing Holdin' Me Back,0,FALSE,2017,0.2,20,0.857,0.8,0.0583,0.381,0.0913,0.966,pop
Mabel,Mad Love,0,FALSE,2019,0.2,20,0.631,0.803,0.155,0.675,0.11,0.62,"pop, Dance/Electronic"
A Boogie Wit da Hoodie,Drowning (feat. Kodak Black),1,TRUE,2017,0.2,20,0.839,0.81,0.0568,0.501,0.117,0.814,hip hop
Storm Queen,Look Right Through - MK Vocal Edit,0,FALSE,2014,0.2,20,0.832,0.815,0.081,0.00304,0.263,0.519,Dance/Electronic
Britney Spears,Work B**ch,1,TRUE,2013,0.2,20,0.63,0.816,0.15,0.124,0.0616,0.85,pop
Stromae,Papaoutai,0,FALSE,2013,0.2,20,0.733,0.818,0.0859,0.0241,0.0636,0.253,pop
Jonas Blue,Perfect Strangers,0,FALSE,2016,0.2,20,0.742,0.819,0.0487,0.372,0.277,0.709,"pop, Dance/Electronic"
James Blunt,Bonfire Heart,0,FALSE,2013,0.2,20,0.575,0.821,0.0527,0.181,0.124,0.449,pop
Alesso,Years - ラジオ・エディット,0,FALSE,2012,0.2,20,0.37,0.823,0.0805,0.00234,0.174,0.323,"pop, Dance/Electronic"
Kanye West,Black Skinhead,1,TRUE,2013,0.2,20,0.578,0.825,0.322,0.000986,0.176,0.283,hip hop
Basement Jaxx,Romeo,0,FALSE,2001,0.2,20,0.713,0.829,0.0491,0.00769,0.139,0.844,"pop, Dance/Electronic"
Tiësto,Red Lights,0,FALSE,2013,0.2,20,0.653,0.829,0.0377,0.000739,0.225,0.545,"pop, Dance/Electronic"
Tiësto,Wasted,0,FALSE,2014,0.2,20,0.645,0.832,0.0294,0.00106,0.199,0.375,"pop, Dance/Electronic"
Martin Jensen,Solo Dance,0,FALSE,2016,0.2,20,0.744,0.836,0.0507,0.0435,0.194,0.36,"pop, Dance/Electronic"
Tim Berg,Seek Bromance - Avicii’s Vocal Edit,0,FALSE,2010,0.2,20,0.515,0.837,0.0401,0.0868,0.0403,0.52,"pop, Dance/Electronic"
One Direction,Live While We're Young,0,FALSE,2012,0.2,20,0.658,0.837,0.0543,0.0629,0.0969,0.936,pop
Mark Ronson,Valerie (feat. Amy Winehouse) - Version Revisited,0,FALSE,2007,0.2,20,0.698,0.844,0.0544,0.00253,0.124,0.896,pop
Olly Murs,Up (feat. Demi Lovato),0,FALSE,2014,0.2,20,0.69,0.845,0.0339,0.0193,0.101,0.638,"pop, Dance/Electronic"
AlunaGeorge,I'm In Control,0,FALSE,2016,0.2,20,0.734,0.847,0.0346,0.355,0.154,0.673,"pop, Dance/Electronic"
Olly Murs,Wrapped Up (feat. Travie McCoy),0,FALSE,2014,0.2,20,0.787,0.848,0.0549,0.0915,0.15,0.947,"pop, Dance/Electronic"
Years & Years,King,0,FALSE,2015,0.2,20,0.559,0.848,0.0388,0.0665,0.382,0.466,"pop, Dance/Electronic"
Oasis,Go Let It Out,0,FALSE,2000,0.2,20,0.408,0.849,0.0333,0.0136,0.56,0.628,"Folk/Acoustic, rock"
BØRNS,Electric Love,0,FALSE,2015,0.2,20,0.373,0.858,0.0889,0.00407,0.256,0.605,"rock, pop"
Nicki Minaj,Super Bass,1,TRUE,2010,0.2,20,0.72,0.861,0.209,0.269,0.601,0.669,"hip hop, pop"
ScHoolboy Q,Man Of The Year,1,TRUE,2014,0.2,20,0.743,0.861,0.0428,0.00518,0.181,0.391,"hip hop, pop"
Olly Murs,Troublemaker (feat. Flo Rida),0,FALSE,2012,0.2,20,0.762,0.863,0.0565,0.015,0.125,0.965,"pop, Dance/Electronic"
Guy Sebastian,Battle Scars (feat. Lupe Fiasco),0,FALSE,2012,0.2,20,0.61,0.863,0.206,0.186,0.097,0.508,pop
